Type,Group,Drug,DrugName,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score
480,Group 31,Bleomycin (sulfate),Bleomycin,Q12933,TRAF2,-0.462176671,9.649623537,5.989517315,2.555094449,0.998375213,0.030145587,0.018686775,0.0,7.296626982,10.15599286,0.39,29,19,3.748238433,0.655172414,0.779104478,0.95959596,Background,0.985294118
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q13263,TRIM28,-0.202258927,7.683190597,5.039367941,3.458184436,0.995477961,0.009236729,0.015614506,0.0,1.877618307,5.377700268,0.62,244,46,4.408569802,0.18852459,0.831692168,0.884993587,Background,0.867647059
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q15102,PAFAH1B3,0.290760278,7.440262223,4.934742265,3.596487134,0.994889617,0.026564004,0.0134704,0.260891213,2.962183989,4.540710118,0.26,23,7,3.539320791,0.304347826,0.778781038,0.693832599,Background,0.838235294
480,Group 31,Bleomycin (sulfate),Bleomycin,Q15654,TRIP6,-0.277075797,7.840682351,5.134818638,3.509336958,0.995847386,0.023477837,0.011112687,0.0,4.126439664,7.10701606,0.29,27,10,3.597157469,0.37037037,0.733695652,0.632911392,Background,0.860294118
480,Group 31,Bleomycin (sulfate),Bleomycin,Q5NDL2,EOGT,0.549955595,8.408345893,5.447209675,3.254064453,0.996876988,0.0164554,0.051088507,0.472489584,8.799999847,6.594391319,0.05,2,2,2.510343901,1.0,0.840909091,1.01369863,Background,0.830882353
480,Group 31,Bleomycin (sulfate),Bleomycin,Q6UB28,METAP1D,0.476046714,8.108120337,5.293112155,3.400192489,0.99637758,0.036755842,0.037041093,0.424363515,7.534176546,10.21467862,0.14,7,4,2.944704698,0.571428571,1.105263158,0.837209302,Background,0.941176471
480,Group 31,Bleomycin (sulfate),Bleomycin,Q8WUH1,CHURC1,-0.37420798,6.940057374,4.510400073,3.78554337,0.993326401,0.041682007,0.019777827,0.0,5.790004005,7.905607468,0.46,9,5,3.142889805,0.555555556,1.25,1.216216216,Background,0.860294118
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q96HC4,PDLIM5,-0.205218131,7.471208354,4.934742265,3.555094449,0.994954609,0.017428268,0.016044308,0.0,1.913882745,6.735373667,0.32,46,16,3.629873211,0.347826087,0.682492582,0.761099366,Background,0.808823529
480,Group 31,Bleomycin (sulfate),Bleomycin,Q9BYT8,NLN,-0.304412003,6.016902549,3.739027406,3.93530569,0.989197731,0.014529265,0.035062194,0.0,4.594621634,7.668469156,0.41,44,23,4.121131247,0.522727273,0.869183494,0.925760286,Background,0.801470588
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q9GZV5,WWTR1,0.71151922,9.170436252,5.97157869,2.856124444,0.997981843,0.049094529,0.045057176,0.697647542,8.118497475,10.03022337,0.04,4,2,2.513017725,0.5,1.125,1.046511628,Background,0.845588235
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q9H0A8,COMMD4,0.432357693,7.259227903,4.849666736,3.669037801,0.994407312,0.003332004,0.045538454,0.318730145,4.697430921,3.711678293,0.24,4,3,2.432327792,0.75,0.909090909,1.071428571,Background,0.808823529
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q9NR56,MBNL1,-0.49321167,8.916431342,5.97157869,3.15715444,0.997687671,0.015695766,0.026495837,0.0,5.443183771,11.21982699,0.2,14,7,3.313740708,0.5,0.534804754,1.071428571,Background,0.93504902
lumos,Group 31,Bleomycin (sulfate),Bleomycin,Q9UNE7,STUB1,0.347636333,7.220488121,4.849666736,3.731185708,0.994297853,0.028888417,0.029525623,0.240086572,3.659188238,6.600838826,0.29,15,9,3.528846025,0.6,0.958806818,0.983009709,Background,0.867647059
480,Group 31,Bleomycin (sulfate),Bleomycin,Q9Y2Y0,ARL2BP,0.35766056,6.75652946,4.351695744,3.810366954,0.99275516,0.011754343,0.040688476,0.307161299,5.506599504,6.619911245,0.13,3,2,2.537126189,0.666666667,0.572033898,0.782608696,Background,0.808823529
lumos,Group 34,Dimercaprol,Dimercaprol,O43813,LANCL1,-0.192817595,6.532190147,3.888934922,3.378397901,0.991845279,0.016121678,0.019856474,0.0,3.102665411,7.724086668,0.32,27,12,3.788581956,0.444444444,0.861702128,1.020793951,Background,0.911764706
lumos,Group 34,Dimercaprol,Dimercaprol,O75844,ZMPSTE24,-0.29551608,6.979080687,4.238915449,3.281487888,0.993494011,0.045563125,0.020947368,0.0,5.184702486,4.911467727,0.28,32,13,3.921577238,0.40625,1.668449198,1.718644068,Background,0.955882353
480,Group 34,Dimercaprol,Dimercaprol,O75880,SCO1,-0.841220551,5.597912289,2.970845669,3.419790586,0.986351789,0.029820991,0.08062696,0.0,16.46258515,12.47634841,0.15,9,5,3.479215288,0.555555556,1.519480519,1.547619048,Background,0.926470588
480,Group 34,Dimercaprol,Dimercaprol,P00918,CA2,-0.428801618,8.754454051,5.105363057,2.378397901,0.997540585,0.020984855,0.013756581,0.0,8.02995433,8.128190137,0.72,86,21,4.478641517,0.244186047,1.176649438,1.05941704,Background,0.985294118
480,Group 34,Dimercaprol,Dimercaprol,P14735,IDE,-0.359924121,8.09240356,4.959146939,2.855519156,0.996346795,0.040027012,0.014926927,0.0,6.6216327,14.33903939,0.49,120,51,4.619968345,0.425,1.147715197,1.086647727,Background,0.955882353
480,Group 34,Dimercaprol,Dimercaprol,P30041,PRDX6,-0.383123534,8.042918223,4.959146939,2.980457892,0.996247597,0.040701193,0.018720514,0.0,7.095985528,8.1694864,0.79,108,22,4.681521629,0.203703704,1.089930478,0.915818686,Background,0.970588235
480,Group 34,Dimercaprol,Dimercaprol,P48059,LIMS1,-0.168358979,4.913418268,2.528616989,3.679427897,0.979486636,0.013848283,0.022241369,0.0,2.704746281,3.091670104,0.39,26,12,3.944349402,0.461538462,1.138132296,0.950704225,Background,0.852941176
lumos,Group 34,Dimercaprol,Dimercaprol,P49354,FNTA,-0.172377111,6.627079764,3.938067048,3.33264041,0.992204443,0.005017074,0.017352458,0.0,2.68826936,3.478671963,0.27,21,9,3.532537815,0.428571429,0.880708295,0.858050847,Background,0.889705882
480,Group 34,Dimercaprol,Dimercaprol,P49356,FNTB,-0.211185222,5.577495698,2.970845669,3.457579147,0.986225226,0.019273745,0.025897483,0.0,3.580404177,3.668353035,0.13,9,6,3.270993091,0.666666667,1.033163265,1.285714286,Background,0.817401961
480,Group 34,Dimercaprol,Dimercaprol,P52888,THOP1,-0.340338601,8.490164336,5.105363057,2.679427897,0.997082224,0.011589181,0.021189712,0.0,6.221172292,13.7505832,0.54,114,36,4.521134159,0.315789474,1.108470182,0.979443773,Background,0.970588235
480,Group 34,Dimercaprol,Dimercaprol,P53582,METAP1,-0.204702812,7.465477985,4.557797961,3.156549151,0.994934085,0.011605453,0.016915512,0.0,3.447859905,7.486434692,0.44,21,11,3.76494537,0.523809524,1.158088235,1.095132743,Background,0.911764706
480,Group 34,Dimercaprol,Dimercaprol,Q12933,TRAF2,-0.437016143,7.783678006,4.796816735,3.077367905,0.995737927,0.034562502,0.014360529,0.0,8.19791476,9.569236862,0.34,36,18,3.903973962,0.5,0.967164179,0.909090909,Background,0.985294118
lumos,Group 34,Dimercaprol,Dimercaprol,Q15654,TRIP6,-0.226567582,7.339133556,4.463513855,3.077367905,0.994646754,0.012611449,0.019586735,0.0,3.786888981,6.941190093,0.48,24,13,3.573712668,0.541666667,0.62283737,0.866666667,Background,0.904411765
480,Group 34,Dimercaprol,Dimercaprol,Q16775,HAGH,-0.254714001,5.720802664,2.989213899,3.33264041,0.987271931,0.014122301,0.02708562,0.0,4.470426656,8.3222227,0.35,30,10,3.915639871,0.333333333,0.968436155,0.807899461,Background,0.977941176
lumos,Group 34,Dimercaprol,Dimercaprol,Q5R3I4,TTC38,-0.219131669,6.285526634,3.688117736,3.419790586,0.990634385,0.03693836,0.01371287,0.0,3.636138493,3.492595319,0.24,17,10,3.598588081,0.588235294,0.936352509,0.989010989,Background,0.845588235
480,Group 34,Dimercaprol,Dimercaprol,Q7RTV0,PHF5A,-0.162450564,5.640537686,2.970845669,3.378397901,0.986669905,0.02765958,0.008500189,0.0,2.583938327,3.563896799,0.7,39,9,4.039334789,0.230769231,1.607142857,1.051948052,Background,0.860294118
lumos,Group 34,Dimercaprol,Dimercaprol,Q8IYS1,PM20D2,-0.209264218,5.683752188,3.186624998,3.524525937,0.986998283,0.007770941,0.024032917,0.0,3.436092708,6.244354695,0.19,11,8,3.374592558,0.727272727,0.89673913,1.097560976,Background,0.808823529
lumos,Group 34,Dimercaprol,Dimercaprol,Q96HC4,PDLIM5,-0.135623704,6.131512661,3.602200788,3.492341253,0.98981002,0.003959571,0.015372715,0.0,1.943156552,4.14579552,0.42,58,22,4.05134357,0.379310345,0.860534125,1.046511628,Background,0.897058824
480,Group 34,Dimercaprol,Dimercaprol,Q96PM5,RCHY1,-0.26714489,4.727737799,2.392558478,3.720820582,0.97651071,0.021382866,0.040396934,0.0,4.724598065,5.674777803,0.4,13,10,3.440610008,0.769230769,0.971760797,1.127819549,Background,0.860294118
lumos,Group 34,Dimercaprol,Dimercaprol,Q9BYT8,NLN,-0.390323486,6.252191715,3.688117736,3.457579147,0.990442831,0.027678436,0.036954298,0.0,7.106761362,9.172043122,0.31,36,16,3.922870717,0.444444444,0.710214818,0.773361976,Background,0.948529412
480,Group 34,Dimercaprol,Dimercaprol,Q9NR56,MBNL1,-0.178598806,6.740732845,3.900146357,3.223495941,0.992676486,0.019448408,0.017526743,0.0,2.914117567,4.101518315,0.35,29,7,4.025948637,0.24137931,1.083887043,1.016129032,Background,0.926470588
lumos,Group 34,Dimercaprol,Dimercaprol,Q9NS86,LANCL2,-0.160501334,4.724357751,2.403321821,3.700617196,0.976462821,0.008864352,0.023353918,0.0,2.447508181,4.329972108,0.34,23,13,3.636628292,0.565217391,1.151279199,1.373239437,Background,0.816176471
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,O60701,UGDH,0.211334429,6.298593439,3.609580724,3.112605002,0.990702797,0.028501718,0.018599634,0.16262355,3.335371664,2.895413409,0.86,160,42,4.673289146,0.2625,0.855716663,1.053511706,Background,0.941176471
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,O95571,ETHE1,-0.268718914,4.039984097,1.542856907,3.304490528,0.959736066,0.056191483,0.026710748,0.0,4.404583455,8.156347525,0.54,29,9,3.757544058,0.310344828,1.082089552,0.926773455,Background,0.933823529
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,P00387,CYB5R3,0.179985986,3.580405136,1.256301697,3.520090328,0.937252434,0.044337488,0.024126751,0.098173704,3.262661678,3.109014599,0.52,26,14,4.032288281,0.538461538,1.409638554,1.39380531,Background,0.823529412
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,P07203,GPX1,-0.32350196,3.58890956,1.256301697,3.500785173,0.93779973,0.077588104,0.036495734,0.0,6.406774756,6.468467142,0.54,25,8,4.006275596,0.32,0.746516257,0.75,Background,0.860294118
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,P07741,APRT,-0.593533168,10.15951161,6.993377642,2.635483747,0.998785685,0.04149236,0.019449732,0.0,10.4566589,11.80863992,0.86,92,16,4.173398991,0.173913043,0.985949035,1.014084507,Background,0.977941176
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,P11310,ACADM,0.142232629,6.057000685,3.41374546,3.158362492,0.989433753,0.011978896,0.01622871,0.104394421,2.047837941,1.575916084,0.52,43,19,4.167451738,0.441860465,1.079799107,1.096153846,Background,0.875
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,P16435,POR,0.239289172,6.964804973,4.224639735,3.061452479,0.99343244,0.018409388,0.012484841,0.199347085,3.856236171,2.204625823,0.36,34,18,4.03009957,0.529411765,1.549261084,1.545243619,Background,0.941176471
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,P36969,GPX4,-0.314347732,4.254702977,1.725391104,3.272305844,0.966515704,0.069200702,0.028449478,0.0,5.254758741,6.557743782,0.58,29,12,4.004729677,0.413793103,0.831210191,1.08,Background,0.941176471
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,P49821,NDUFV1,0.712573745,10.5928804,7.20807912,2.459392488,0.999021707,0.024923984,0.036600884,0.678895312,14.93046486,8.889161342,0.22,11,7,3.346587665,0.636363636,1.125,1.05704698,Background,0.985294118
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q16881,TXNRD1,0.221021147,4.946664182,2.344801642,3.199755177,0.979951838,0.017632122,0.032768888,0.179696165,3.515858664,3.237223125,0.53,109,30,4.435046046,0.275229358,0.979432907,1.087832393,Background,0.919117647
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q6P1R4,DUS1L,0.3817919,5.10756196,2.46312337,3.199755177,0.981898162,0.074713146,0.047473941,0.329211946,7.683776602,6.576413133,0.14,5,5,3.010914489,1.0,1.062176166,1.289308176,Background,0.941176471
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q969G6,RFK,1.009110642,19.21456025,15.57130503,2.158362492,0.999996579,0.003709874,0.012647766,0.987663522,18.19987274,17.78205524,0.3,5,5,3.146298618,1.0,1.184971098,1.737288136,Target,0.963235294
lumos,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q96G46,DUS3L,0.384786847,7.156778473,4.358621288,3.003460532,0.994096037,0.046262176,0.027847244,0.329095764,6.567209873,5.842278729,0.24,19,12,3.57846156,0.631578947,1.89159292,1.666666667,Background,0.992647059
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q9NVS9,PNPO,0.263366172,8.223102194,5.236240923,2.857332496,0.996610181,0.01520332,0.020136409,0.230008072,5.089334521,9.968387626,0.48,27,12,3.877805999,0.444444444,1.236012208,1.086519115,Background,0.992647059
480,Group 34,Riboflavin (phosphate sodium),Riboflavin,Q9NX74,DUS2,0.513355281,9.733969107,6.525259087,2.635483747,0.998450466,0.026090936,0.014685464,0.50059819,10.56603517,11.67323917,0.19,11,8,3.535382743,0.727272727,0.825938567,0.777041943,Background,0.948529412
lumos,Group 34,Vorinostat,Vorinostat,O00748,CES2,0.232395085,4.187120778,1.840373911,3.724357804,0.964507809,0.021833379,0.031588007,0.142998344,3.199187046,3.229216124,0.18,12,8,3.252112401,0.666666667,1.776315789,1.809045226,Background,0.830882353
lumos,Group 34,Vorinostat,Vorinostat,O43708,GSTZ1,0.230500263,6.024708631,3.381453406,3.445604203,0.989235358,0.031803203,0.019815779,0.202290752,3.167862062,2.618343831,0.26,10,6,3.543813597,0.6,0.931677019,1.12033195,Background,0.904411765
480,Group 34,Vorinostat,Vorinostat,O94804,STK10,0.804449675,7.970870753,5.239281988,3.399846713,0.996114193,0.04224632,0.077284732,0.636138915,12.11346819,7.318461458,0.03,5,1,2.776083437,0.2,0.945945946,0.583333333,Background,0.801470588
lumos,Group 34,Vorinostat,Vorinostat,P05091,ALDH2,0.562216858,8.080333012,5.282175827,3.290702243,0.996312589,0.024823528,0.047008407,0.416617625,8.651762991,14.33936341,0.69,114,30,4.370971752,0.263157895,1.127224786,1.261682243,Background,0.977941176
lumos,Group 34,Vorinostat,Vorinostat,P07602,PSAP,-0.220634692,6.753965818,4.064953103,3.399846713,0.992751739,0.017362267,0.015831985,0.0,3.004765575,5.160565388,0.45,56,19,4.015573496,0.339285714,1.112582781,1.103225806,Background,0.919117647
lumos,Group 34,Vorinostat,Vorinostat,P24752,ACAT1,-0.229339064,6.779979273,4.064953103,3.34869419,0.992820151,0.03954199,0.018213126,0.0,3.148665258,7.28422756,0.74,71,23,4.633034955,0.323943662,1.03902439,0.909490334,Background,0.941176471
lumos,Group 34,Vorinostat,Vorinostat,P30837,ALDH1B1,1.225486757,12.39694231,9.269700239,2.922725458,0.999616892,0.043926908,0.037565107,1.130225201,19.61686535,15.95315972,0.54,78,24,4.370745256,0.307692308,1.327534039,1.309090909,Background,0.992647059
lumos,Group 34,Vorinostat,Vorinostat,P51648,ALDH3A2,0.902374108,11.40137796,8.457092743,3.144574208,0.999391132,0.039437042,0.035035781,0.843129581,14.27520388,11.97597553,0.31,25,11,3.764295715,0.44,2.887788779,2.092391304,Background,0.985294118
480,Group 34,Vorinostat,Vorinostat,P51649,ALDH5A1,0.798328816,13.08444282,9.875732802,2.922725458,0.999726352,0.029626918,0.015676226,0.752101647,12.01673766,12.87893776,0.41,50,19,4.290855654,0.38,1.414204903,1.132450331,Background,0.992647059
480,Group 34,Vorinostat,Vorinostat,Q01581,HMGCS1,0.57676857,6.948025123,4.3761372,3.559547556,0.993357186,0.028591812,0.060957081,0.397834335,8.515327187,12.16023739,0.46,68,21,4.379456905,0.308823529,1.157775255,0.918367347,Background,0.970588235
480,Group 34,Vorinostat,Vorinostat,Q02809,PLOD1,0.541656093,7.881036433,5.195205158,3.445604203,0.995936322,0.05978885,0.030211098,0.469641645,7.960429827,7.423145347,0.14,9,8,3.662162629,0.888888889,1.323529412,1.395348837,Background,0.948529412
lumos,Group 34,Vorinostat,Vorinostat,Q13547,HDAC1,1.393679601,15.6698192,12.02656397,2.445604203,0.999965794,0.026075339,0.02148248,1.327400722,22.39741027,15.51554831,0.3,27,8,4.007284653,0.296296296,1.678176796,1.666666667,Target,1.0
480,Group 34,Vorinostat,Vorinostat,Q5R3I4,TTC38,-0.378136688,9.603198711,6.695518687,3.223755454,0.998351269,0.010408244,0.014284749,0.0,5.376263373,7.120402938,0.28,20,10,3.856934211,0.5,0.763358779,0.683890578,Background,0.941176471
lumos,Group 34,Vorinostat,Vorinostat,Q92769,HDAC2,1.162660889,13.12991882,9.78769359,2.746634199,0.999729772,0.041618137,0.01709343,1.102523433,18.57823526,17.52577592,0.32,33,8,3.663597285,0.242424242,1.504559271,1.290322581,Target,1.0
480,Group 34,Vorinostat,Vorinostat,Q96AB3,ISOC2,0.361877614,9.164437538,6.323704304,3.290702243,0.997975002,0.00724685,0.026547704,0.347995364,5.11931434,9.827942704,0.59,16,7,3.801736336,0.4375,1.170731707,1.086206897,Background,1.0
480,Group 34,Vorinostat,Vorinostat,Q9BWD1,ACAT2,-0.218080373,7.807216002,5.162777412,3.486996888,0.995796077,0.004807286,0.017343576,0.0,2.846825595,9.793570138,0.84,90,26,4.464347939,0.288888889,1.192930781,1.076356946,Background,0.867647059
480,Group 35,Amlodipine,Amlodipine,O15400,STX7,0.245962683,3.636918362,1.24402873,3.660106222,0.940758553,0.040330661,0.043354005,0.147211104,4.200760899,3.399134723,0.43,17,8,3.682893837,0.470588235,0.885416667,0.991735537,Background,0.875
480,Group 35,Amlodipine,Amlodipine,P18754,RCC1,0.176617227,3.664638766,1.24402873,3.635282638,0.9424928,0.038639548,0.035129374,0.119371801,2.804676549,3.852394427,0.53,26,12,4.23290213,0.461538462,1.319052988,1.115702479,Background,0.801470588
lumos,Group 35,Amlodipine,Amlodipine,P35580,MYH10,0.173930153,4.600843932,1.671425007,3.103803721,0.97418812,0.018461126,0.026629621,0.10737149,2.736915879,3.074162197,0.24,94,31,4.334955112,0.329787234,1.684166667,1.833562586,Background,0.904411765
lumos,Group 35,Amlodipine,Amlodipine,P55957,BID,0.364449909,7.07823623,3.4498473,2.404833717,0.99383265,0.015189764,0.03778674,0.327746746,6.602301324,12.34872095,0.7,31,9,3.720448737,0.290322581,0.83884546,1.08,Background,1.0
480,Group 35,Amlodipine,Amlodipine,P62857,RPS28,0.135985584,5.262845468,2.303231757,3.103803721,0.983550314,0.009354196,0.019870028,0.101316232,1.986667645,2.846012459,0.62,23,9,3.632026834,0.391304348,1.315120712,1.289808917,Background,0.875
480,Group 35,Amlodipine,Amlodipine,Q15418,RPS6KA1,0.27895593,4.41825267,1.604766994,3.249931757,0.970480184,0.033377595,0.046840608,0.166754769,4.864991238,4.568378319,0.23,24,8,3.793483058,0.333333333,1.278106509,1.2,Background,0.897058824
480,Group 35,Amlodipine,Amlodipine,Q32P28,P3H1,0.441835991,5.829284159,2.647821698,2.881954971,0.987986838,0.050263562,0.02244767,0.416466547,8.144143392,8.966184001,0.06,5,4,3.146081502,0.8,0.690184049,0.717131474,Background,0.897058824
480,Group 35,Amlodipine,Amlodipine,Q96GW9,MARS2,0.137243906,6.10004561,2.74249189,2.705863712,0.98964241,0.01591937,0.014492204,0.100638468,2.012000593,3.883172997,0.24,15,11,3.738554635,0.733333333,1.097560976,1.148491879,Background,0.852941176
480,Group 35,Amlodipine,Amlodipine,Q9GZT8,NIF3L1,0.246235225,7.16146408,3.502880365,2.404833717,0.994123402,0.023427119,0.01211276,0.194108787,4.206247795,9.988044297,0.47,50,16,4.189719051,0.32,1.243781095,1.037463977,Background,0.970588235
lumos,Group 35,Amlodipine,Amlodipine,Q9Y676,MRPS18B,0.670324397,5.135395918,1.984128243,2.881954971,0.982202596,0.115238337,0.053282724,0.465354546,12.80807663,8.866916521,0.08,5,2,2.856608068,0.4,1.482758621,1.061728395,Background,0.911764706
lumos,Group 37,Ceftazidime,Ceftazidime,O14979,HNRNPDL,0.299925047,6.533345812,3.596329705,3.23299611,0.9918487,0.033567986,0.015589473,0.254132442,4.66580197,7.498654343,0.17,22,6,3.705363302,0.272727273,1.006097561,1.011235955,Background,0.977941176
lumos,Group 37,Ceftazidime,Ceftazidime,O75323,NIPSNAP2,0.34735923,4.897292936,2.249683445,3.488268615,0.979247193,0.024139282,0.062384053,0.12225295,5.519546007,4.041636312,0.24,12,7,3.599670237,0.583333333,1.547277937,1.740331492,Background,0.898284314
lumos,Group 37,Ceftazidime,Ceftazidime,P08047,SP1,0.305306537,7.550887532,4.392022675,3.011147361,0.995183789,0.024200839,0.02737305,0.251693003,4.762660698,4.992840023,0.09,14,5,3.005995123,0.357142857,0.909090909,0.910931174,Background,0.941176471
480,Group 37,Ceftazidime,Ceftazidime,P12268,IMPDH2,0.433728715,10.39161799,6.689446042,2.534026106,0.99892251,0.018654788,0.012253526,0.395972295,7.059423867,13.21755141,0.58,138,32,4.661365861,0.231884058,1.051117129,0.933246922,Background,0.970588235
lumos,Group 37,Ceftazidime,Ceftazidime,P20839,IMPDH1,0.359528516,7.992318836,4.65736272,2.835056102,0.99615182,0.015329142,0.027958038,0.27944782,5.738574876,9.051222636,0.28,30,10,3.557188281,0.333333333,0.850661626,0.844277674,Background,0.992647059
lumos,Group 37,Ceftazidime,Ceftazidime,P30041,PRDX6,-0.275337336,4.190052998,1.668010239,3.647969458,0.964617269,0.026245589,0.043186383,0.0,4.223260101,4.700716116,0.75,106,24,4.71615699,0.226415094,0.843054083,1.024667932,Background,0.882352941
480,Group 37,Ceftazidime,Ceftazidime,P53396,ACLY,0.397724458,6.126514771,3.202494071,3.312177356,0.989786075,0.013896641,0.052862849,0.304459931,6.4213723,7.658851422,0.58,149,60,5.168333929,0.402684564,1.092909535,1.071428571,Background,0.963235294
480,Group 37,Ceftazidime,Ceftazidime,P62081,RPS7,0.180647374,4.290598636,1.792546668,3.738146089,0.967357173,0.010304041,0.036744964,0.137864921,2.574427837,3.119072488,0.63,30,13,4.153743238,0.433333333,1.028963415,0.991525424,Background,0.845588235
lumos,Group 37,Ceftazidime,Ceftazidime,P62244,RPS15A,0.257333459,4.054680488,1.635846297,3.738146089,0.960293625,0.033653736,0.043740862,0.116969334,3.899217361,4.471137726,0.65,30,8,3.952790022,0.266666667,1.07827476,0.930232558,Background,0.852941176
480,Group 37,Ceftazidime,Ceftazidime,P62266,RPS23,0.240074037,4.07570462,1.674562665,3.835056102,0.960933278,0.024849178,0.041607121,0.136507208,3.627560991,4.772787644,0.58,25,9,3.8911554,0.36,1.19047619,1.191176471,Background,0.808823529
lumos,Group 37,Ceftazidime,Ceftazidime,Q08257,CRYZ,0.182579227,4.885669557,2.249683445,3.534026106,0.979031695,0.004952553,0.03029264,0.125140756,2.553753477,5.059804815,0.74,73,20,4.309711058,0.273972603,1.191080493,1.105651106,Background,0.867647059
480,Group 37,Ceftazidime,Ceftazidime,Q13501,SQSTM1,0.183533146,5.729984052,2.930902088,3.437116093,0.98731982,0.013581821,0.01996261,0.080416743,2.625568221,3.529506589,0.24,12,6,3.414053675,0.5,0.989010989,0.885245902,Background,0.890931373
lumos,Group 37,Ceftazidime,Ceftazidime,Q16698,DECR1,0.259926793,6.673047027,3.639120906,3.136086097,0.992382314,0.000573557,0.028649709,0.217426151,3.945893483,5.330399171,0.55,58,16,3.991781883,0.275862069,1.054545455,0.970350404,Background,0.963235294
lumos,Group 37,Ceftazidime,Ceftazidime,Q96C36,PYCR2,0.195048443,4.236036201,1.679231335,3.613207352,0.965947884,0.006763739,0.031743043,0.004232347,2.778180632,3.005253928,0.41,21,9,3.666283923,0.428571429,1.462025316,1.677966102,Background,0.801470588
lumos,Group 37,Ceftazidime,Ceftazidime,Q9BPW8,NIPSNAP1,0.366040955,3.827184249,1.513417431,3.856245401,0.950780924,0.00667227,0.076839874,0.178268245,5.855788986,4.698325847,0.4,26,10,4.004480443,0.384615385,0.988175676,1.174934726,Background,0.808823529
480,Group 37,Ceftazidime,Ceftazidime,Q9BV79,MECR,0.327195985,7.22192076,3.820778805,2.835056102,0.994301273,0.037952784,0.020897757,0.251853089,5.171497767,5.040727135,0.08,5,3,3.296610352,0.6,0.901639344,0.76744186,Background,0.911764706
480,Group 37,Clinofibrate,Clinofibrate,P13861,PRKAR2A,0.198863276,10.07869254,6.677550586,3.173186268,0.998748059,0.005270636,0.010616934,0.172315645,2.239797734,4.695536785,0.54,42,15,4.25916128,0.357142857,1.135817308,0.97826087,Background,0.867647059
lumos,Group 37,Clinofibrate,Clinofibrate,P32322,PYCR1,0.22072765,7.080487244,4.289599172,3.717254313,0.993842912,0.019982028,0.011681094,0.199151548,2.31666669,6.623689019,0.56,60,15,4.129332129,0.25,1.603325416,1.264044944,Background,0.808823529
480,Group 37,Clinofibrate,Clinofibrate,P33121,ACSL1,1.015081022,12.32307918,8.620907233,2.872156273,0.99960663,0.0188998,0.046267012,0.92942851,14.55240096,13.80609635,0.25,24,16,4.044157429,0.666666667,2.376811594,2.394160584,Background,0.977941176
lumos,Group 37,Clinofibrate,Clinofibrate,P50336,PPOX,0.484977578,7.101887557,4.289599172,3.650307523,0.99394553,0.028463339,0.035941393,0.282823075,6.085979871,3.418473733,0.24,15,9,3.504572798,0.6,1.7578125,1.551724138,Background,0.955882353
lumos,Group 37,Clinofibrate,Clinofibrate,Q08379,GOLGA2,0.239815065,6.444287604,3.795990011,3.826398782,0.991407442,0.024107756,0.028334289,0.204935848,2.588933346,3.301559662,0.06,9,6,2.944235844,0.666666667,1.653061224,1.44,Background,0.801470588
lumos,Group 37,Clinofibrate,Clinofibrate,Q86U90,YRDC,0.92982258,9.943586602,6.30760049,2.872156273,0.998628338,0.040004425,0.028893817,0.802061723,12.43133686,10.20549292,0.24,6,6,3.288763276,1.0,1.081967213,1.562130178,Background,0.977941176
480,Group 37,Clinofibrate,Clinofibrate,Q8TD16,BICD2,0.210042122,8.419523907,5.416321961,3.571126277,0.996904353,0.011645123,0.01373658,0.171043578,2.40843006,4.979365182,0.31,39,24,4.111163341,0.615384615,1.384069401,1.275088548,Background,0.867647059
480,Group 37,Clinofibrate,Clinofibrate,Q8WUY1,THEM6,0.690834125,8.701505992,5.601394032,3.474216264,0.99745165,0.039962625,0.054420587,0.65273975,9.661152986,8.845296718,0.18,6,4,3.114427488,0.666666667,1.259668508,1.288135593,Background,0.963235294
lumos,Group 37,Clinofibrate,Clinofibrate,Q92797,SYMPK,0.221390742,6.431976123,3.795990011,3.872156273,0.991335609,0.032171823,0.020547124,0.174177544,2.326125162,3.37488924,0.16,31,18,3.775723284,0.580645161,1.646989374,1.539923954,Background,0.830882353
